Acc_X,Acc_Y,Acc_Z
-3.540282,-8.383536,1.669629
-1.271611,-10.527706,-0.401994
-2.242091,-8.872554,0.287244
-1.515563,-9.962933,0.313379
-1.775688,-10.060343,-0.211415
-2.866404,-9.013159,1.616984
-1.759906,-10.390196,0.391431
-3.014021,-8.5776,1.515536
-1.352209,-10.468452,0.180604
-2.714481,-8.611851,1.185068
-1.749677,-10.381452,0.260989
-3.87966,-8.224055,1.86941
-2.42957,-10.260655,-0.842023
-2.051317,-9.703882,0.42235
-1.537598,-10.692944,-0.083327
-3.278517,-8.510406,1.910928
-1.423408,-10.466755,0.403826
-4.168078,-7.88271,2.221326
-1.492579,-10.245176,-0.105538
-2.934947,-8.755702,1.558099
-2.007128,-9.617748,0.036782
-2.01082,-8.908323,1.238773
-2.447196,-9.885433,0.614916
-1.831597,-9.422389,0.749533
-3.558364,-8.960927,1.444606
-2.605951,-10.170956,-0.597443
-2.175054,-9.556762,1.120624
-2.129641,-10.706573,-0.081117
-3.640771,-8.19772,2.12047
-1.499062,-10.442152,0.020441
-3.122494,-8.699039,1.635045
-1.689232,-9.306567,0.177907
-1.593461,-9.951763,0.585393
-3.690865,-8.434406,1.740666
-2.057746,-9.885702,0.194627
-2.625098,-9.363097,1.639435
-1.864159,-9.388893,0.449001
-2.075004,-8.794436,1.435796
-3.040394,-9.428481,1.401648
-1.488185,-10.390076,0.360265
-2.78312,-8.460264,1.704889
-1.113492,-10.871311,0.230181
-3.178986,-8.454382,1.527582
-0.509488,-10.650311,-0.0669
-3.540282,-8.383536,1.669629
-1.271611,-10.527706,-0.401994
-2.242091,-8.872554,0.287244
-1.515563,-9.962933,0.313379
-1.775688,-10.060343,-0.211415
-2.866404,-9.013159,1.616984
-1.759906,-10.390196,0.391431
-3.014021,-8.5776,1.515536
-1.352209,-10.468452,0.180604
-2.714481,-8.611851,1.185068
-1.749677,-10.381452,0.260989
-3.87966,-8.224055,1.86941
-2.42957,-10.260655,-0.842023
-2.051317,-9.703882,0.42235
-1.537598,-10.692944,-0.083327
-3.278517,-8.510406,1.910928
-1.423408,-10.466755,0.403826
-4.168078,-7.88271,2.221326
-1.492579,-10.245176,-0.105538
-2.934947,-8.755702,1.558099
-2.007128,-9.617748,0.036782
-2.01082,-8.908323,1.238773
-2.447196,-9.885433,0.614916
-1.831597,-9.422389,0.749533
-3.558364,-8.960927,1.444606
-2.605951,-10.170956,-0.597443
-2.175054,-9.556762,1.120624
-2.129641,-10.706573,-0.081117
-3.640771,-8.19772,2.12047
-1.499062,-10.442152,0.020441
-3.122494,-8.699039,1.635045
-1.689232,-9.306567,0.177907
-1.593461,-9.951763,0.585393
-3.690865,-8.434406,1.740666
-2.391113,-10.079358,0.572587
-3.726098,-8.473521,1.813613
-1.988793,-10.766155,0.2237
-4.323186,-7.686625,2.214309
-2.113235,-10.553865,0.139531
-3.577379,-8.240341,1.977759
-1.95083,-10.412497,-0.009701
-3.64647,-7.977592,1.698938
-2.824282,-9.336962,0.454172
-2.38582,-8.955455,1.047304
-3.591815,-9.459743,0.722309
-2.405999,-9.944263,-0.981131
-2.819029,-9.729143,0.778453
-2.36985,-10.529007,-0.533437
-3.4615,-8.403282,1.917836
-2.209971,-10.167814,0.232176
-3.560757,-8.421204,2.007858
-1.807549,-10.635427,-0.013545
-3.389647,-8.531578,1.263345
-1.860866,-10.482076,0.096704
-4.188779,-7.808261,2.031285
-2.391223,-9.84254,-0.098082
-2.983696,-9.727546,-0.296212
-2.673275,-10.418983,-0.501212
-3.228437,-8.541088,1.570867
-2.669457,-9.805426,0.376959
-2.924105,-8.239384,1.865915
-3.053667,-9.67262,0.858984
-2.257423,-9.470344,0.854332
-3.411195,-9.133253,1.156005
-1.999601,-10.108502,0.596306
-3.376677,-8.558911,1.48594
-1.565324,-10.853953,-0.091734
-4.581094,-7.667669,1.666837
-2.305922,-9.829405,-0.638214
-4.177339,-8.455429,0.887456
-3.730752,-8.967322,1.353261
-2.221578,-10.224107,0.492945
-3.747913,-8.302134,1.497777
-1.93336,-10.776761,0.17529
-3.777672,-8.15791,2.01381
-1.568723,-10.375578,-0.197184
-3.465811,-8.281315,1.814407
-2.039581,-9.635504,0.19706
-2.391113,-10.079358,0.572587
-3.726098,-8.473521,1.813613
-1.988793,-10.766155,0.2237
-4.323186,-7.686625,2.214309
-2.113235,-10.553865,0.139531
-3.577379,-8.240341,1.977759
-1.95083,-10.412497,-0.009701
-3.64647,-7.977592,1.698938
