Acc_X,Acc_Y,Acc_Z
1.545315,-10.240915,0.454462
1.924328,-9.349415,1.398139
2.072807,-10.389793,0.766923
2.462179,-8.950292,2.126305
2.087219,-10.24624,0.376507
2.076037,-8.967701,1.641688
2.515274,-9.548433,0.772409
2.158352,-9.696992,1.545377
1.988396,-9.561641,1.049426
2.325023,-9.863373,1.102607
2.178082,-9.526864,1.671064
2.292139,-9.634252,1.028008
1.929759,-9.739932,1.670063
2.45142,-9.643594,0.362768
1.741613,-9.722826,1.777797
2.343066,-9.72678,0.886426
1.78211,-9.96232,1.255586
2.091881,-9.650421,0.2894
1.862631,-9.659014,1.412891
2.437706,-9.65,0.816084
1.817829,-9.811769,1.499647
2.393316,-9.551575,0.833881
2.019448,-9.474516,1.380627
2.416127,-9.73696,1.27412
2.307055,-9.624298,0.807785
1.937571,-9.697173,1.601521
2.374207,-9.339439,1.096983
2.416337,-9.780866,1.65783
2.195525,-9.552952,0.927022
2.065912,-9.801899,1.734207
2.459917,-9.487567,0.959168
2.003804,-9.666405,1.74852
2.37324,-9.590434,0.654256
1.96507,-9.695163,1.532295
2.105285,-9.439286,1.199618
2.282225,-9.875337,1.40639
1.926856,-9.719522,1.131295
2.077112,-9.821969,0.962426
2.416707,-9.543068,0.903273
1.874604,-9.69855,1.440684
2.274871,-9.978554,0.467128
1.809116,-9.504197,1.71334
2.174694,-10.197015,0.610959
1.689183,-9.131359,2.019368
1.54421,-10.346316,0.123031
1.516717,-9.790599,0.30025
2.405991,-10.00789,0.27559
2.074029,-9.609841,2.494551
1.859399,-9.712679,-0.298496
2.248403,-9.43741,2.184033
2.069985,-9.596273,0.190027
1.875721,-9.585577,1.827951
2.28811,-9.662666,0.744555
2.144623,-9.413838,1.180976
2.176193,-9.757736,1.500097
2.024981,-9.613795,0.844249
2.072699,-9.77179,1.649386
2.861492,-9.750778,0.860652
3.069244,-8.450428,1.731722
3.005261,-10.729034,0.67677
1.96683,-8.831935,2.42641
3.000583,-9.659298,0.329052
2.23531,-9.164722,2.334744
2.767528,-9.788992,0.318985
2.368745,-9.221323,2.593168
2.567877,-9.8906,-0.256056
2.077199,-8.59991,2.804177
2.779319,-9.642805,0.475416
2.266971,-9.521553,1.987365
2.770915,-9.483125,0.759343
2.599455,-9.429932,0.909493
2.344738,-9.643455,1.707473
2.492817,-10.023951,0.585415
2.06159,-9.352946,1.631033
2.525923,-9.802696,-0.143852
1.852476,-9.755396,2.562015
2.102884,-9.557905,-0.309314
2.722567,-9.044395,2.106399
2.377435,-9.726583,0.421909
2.092299,-9.580936,1.616659
2.785695,-9.576816,0.618867
2.703775,-9.205347,1.384477
2.603123,-9.585096,1.30046
2.333283,-9.679293,0.960085
2.244413,-9.530337,1.575626
2.884354,-9.849481,0.61624
2.134619,-9.21287,1.907984
2.821243,-9.958118,0.454874
2.252544,-9.152279,2.047524
2.673007,-9.809544,0.487205
1.877111,-9.196964,2.145481
2.724337,-9.838756,0.39214
2.328862,-9.240293,1.939454
2.694534,-9.786056,0.572582
2.358127,-9.060755,2.090729
1.932486,-10.150792,0.198745
2.656143,-9.374655,2.510897
2.038926,-9.509991,-0.087247
2.563391,-9.303207,2.140863
2.67213,-9.580493,0.580496
2.382222,-9.347449,1.413428
2.47724,-9.758656,1.32368
2.114075,-10.250148,0.301379
1.789351,-9.371537,1.512492
2.280254,-10.004884,-0.319855
1.704721,-9.442583,1.667231
2.150048,-10.090223,0.006035
2.428211,-9.270574,2.5344
2.146168,-9.46833,0.153712
2.181916,-9.350633,1.899028
2.448871,-9.645709,0.712438
2.218786,-9.389553,1.467432
2.420191,-9.749796,1.16464
2.530305,-9.323712,1.293171
2.173021,-9.634662,1.517923
2.558755,-9.675582,0.901681
2.167756,-9.533571,1.578649
2.446415,-10.220017,0.602516
2.101701,-9.053278,1.955393
2.359838,-10.219487,0.523555
2.095988,-9.069336,1.841534
2.55266,-9.977954,0.403407
2.226946,-9.188037,1.890275
2.556054,-9.820911,0.358466
2.09723,-9.442629,1.912959
2.432322,-9.860638,0.365935
2.12378,-9.072906,2.035789
2.103714,-10.260704,0.322846
2.470503,-9.336166,2.476839
2.079213,-9.378596,0.049704
