Acc_X,Acc_Y,Acc_Z
-0.239658,-9.93188,-0.344342
-0.24383,-9.931878,-0.350977
-0.268869,-9.932836,-0.355835
-0.266876,-9.930191,-0.362584
-0.259426,-9.932907,-0.34742
-0.265878,-9.930391,-0.340704
-0.264083,-9.930391,-0.33884
-0.265994,-9.933043,-0.342906
-0.257099,-9.932317,-0.347887
-0.27133,-9.930986,-0.363223
-0.266344,-9.929127,-0.356732
-0.268463,-9.93122,-0.358466
-0.251936,-9.931837,-0.350046
-0.238079,-9.934779,-0.341036
-0.247799,-9.930713,-0.355834
-0.259497,-9.933449,-0.34571
-0.2573,-9.932384,-0.339973
-0.248229,-9.931531,-0.328497
-0.240805,-9.932983,-0.327602
-0.227482,-9.932425,-0.323274
-0.234554,-9.931787,-0.334784
-0.232544,-9.930782,-0.344137
-0.235618,-9.932983,-0.339507
-0.229288,-9.931764,-0.339886
-0.243491,-9.931809,-0.338734
-0.246763,-9.932379,-0.344951
-0.23595,-9.931654,-0.337911
-0.243467,-9.930455,-0.337378
-0.233365,-9.93318,-0.34017
-0.235486,-9.929417,-0.342634
-0.232544,-9.932903,-0.347215
-0.241936,-9.934448,-0.345424
-0.234186,-9.934134,-0.347079
-0.25597,-9.931252,-0.342898
-0.265975,-9.930565,-0.344391
-0.270535,-9.930191,-0.346556
-0.229671,-9.930303,-0.346461
-0.228235,-9.933983,-0.338441
-0.217769,-9.930511,-0.331825
-0.198776,-9.934113,-0.3139
-0.205957,-9.933385,-0.321549
-0.202239,-9.933725,-0.327242
-0.196314,-9.929855,-0.337446
-0.187533,-9.932836,-0.342357
-0.194983,-9.929461,-0.344295
-0.23316,-9.932631,-0.361855
-0.261688,-9.931721,-0.359591
-0.271707,-9.930298,-0.365416
-0.273793,-9.928728,-0.364978
-0.249373,-9.931602,-0.354193
-0.250602,-9.931742,-0.346668
-0.244926,-9.931466,-0.350363
-0.235486,-9.930389,-0.347553
-0.238017,-9.933998,-0.351524
-0.23768,-9.932652,-0.350547
-0.237333,-9.929073,-0.355081
-0.236283,-9.933781,-0.351743
-0.233295,-9.931127,-0.345711
-0.237746,-9.931587,-0.334785
-0.230498,-9.930923,-0.327137
-0.245836,-9.933229,-0.341396
-0.285918,-9.929906,-0.351978
-0.291083,-9.931985,-0.35753
-0.296367,-9.928391,-0.358709
-0.284765,-9.933848,-0.35161
-0.272596,-9.933117,-0.357064
-0.261116,-9.932748,-0.34721
-0.249851,-9.930856,-0.352077
-0.256145,-9.930029,-0.358845
-0.250515,-9.931787,-0.355334
-0.232749,-9.926815,-0.34571
-0.233291,-9.933117,-0.347554
-0.225977,-9.932424,-0.346189
-0.243734,-9.931588,-0.344495
-0.232271,-9.931468,-0.34017
-0.235691,-9.931397,-0.346258
-0.237149,-9.929459,-0.345758
-0.233434,-9.931674,-0.350292
-0.23479,-9.933305,-0.348425
-0.226995,-9.927728,-0.347207
-0.223753,-9.930509,-0.352927
-0.226389,-9.929312,-0.3558
-0.218008,-9.925961,-0.356041
-0.22112,-9.930509,-0.352928
-0.214418,-9.934819,-0.351729
-0.216333,-9.935537,-0.34407
-0.234906,-9.933745,-0.346258
-0.237878,-9.930189,-0.336089
-0.218967,-9.922847,-0.341196
-0.221773,-9.930987,-0.333925
-0.224948,-9.939847,-0.330899
-0.225194,-9.932424,-0.333774
-0.216766,-9.931642,-0.342848
-0.211542,-9.932426,-0.341675
-0.21546,-9.930337,-0.343284
-0.212979,-9.934824,-0.341437
-0.208908,-9.929314,-0.344308
-0.217293,-9.931944,-0.344546
-0.207474,-9.930989,-0.345027
-0.214178,-9.936496,-0.343111
-0.205885,-9.935561,-0.333273
-0.216331,-9.933622,-0.345744
-0.204361,-9.932425,-0.340237
-0.210892,-9.935123,-0.34198
-0.210825,-9.930033,-0.347659
-0.207625,-9.932949,-0.35025
-0.200771,-9.933142,-0.3467
-0.212978,-9.933383,-0.338081
-0.203272,-9.932947,-0.349597
-0.211066,-9.929791,-0.351491
-0.205319,-9.929871,-0.347182
-0.204507,-9.931568,-0.344881
-0.210455,-9.933381,-0.34481
-0.209627,-9.931707,-0.351251
-0.208591,-9.936414,-0.337444
-0.200106,-9.93518,-0.337376
-0.194604,-9.931168,-0.347509
-0.194385,-9.93187,-0.356757
-0.198574,-9.93092,-0.348549
-0.202206,-9.928595,-0.33569
-0.172116,-9.933622,-0.335847
-0.197376,-9.934114,-0.341568
-0.21657,-9.927876,-0.35101
-0.215898,-9.931855,-0.357214
-0.197179,-9.938173,-0.344788
-0.203925,-9.931205,-0.342416
-0.214658,-9.932902,-0.356041
-0.217637,-9.928811,-0.350904
-0.205884,-9.933817,-0.346333
-0.210106,-9.930029,-0.359154
-0.203163,-9.934102,-0.362024
-0.214371,-9.936431,-0.364395
-0.211326,-9.9336,-0.366574
-0.217052,-9.934819,-0.365138
-0.206757,-9.933602,-0.338063
-0.215375,-9.933142,-0.35125
-0.223081,-9.931204,-0.359827
