Acc_X,Acc_Y,Acc_Z
3.103125,-9.363963,0.56563
3.070672,-9.372756,0.500606
3.046948,-9.384182,0.491029
3.10923,-9.355581,0.546477
3.081816,-9.370307,0.545639
3.095159,-9.362525,0.544572
3.123563,-9.355996,0.552734
3.116173,-9.35654,0.534865
3.085908,-9.365573,0.59953
3.140213,-9.342068,0.655249
3.16298,-9.335591,0.658166
3.257638,-9.293095,0.690836
3.234566,-9.309745,0.681694
3.189077,-9.319909,0.710479
3.110177,-9.34544,0.74525
3.089119,-9.353069,0.715387
3.037284,-9.388025,0.640808
3.066853,-9.365996,0.610761
3.078399,-9.359261,0.675274
3.063022,-9.368032,0.680312
3.05117,-9.372103,0.679834
3.099621,-9.347725,0.707051
3.095942,-9.354625,0.71862
3.069149,-9.363723,0.683
3.028447,-9.385815,0.603557
3.086006,-9.366117,0.574848
3.080467,-9.363069,0.590497
3.115618,-9.354473,0.597136
3.14215,-9.342774,0.653497
3.154252,-9.331837,0.731429
3.166658,-9.316818,0.797378
3.182612,-9.313086,0.837611
3.23239,-9.28406,0.873122
3.222813,-9.303215,0.783122
3.151727,-9.332837,0.706649
3.094288,-9.356214,0.627607
3.011579,-9.402247,0.448151
3.00173,-9.404425,0.465792
3.057504,-9.37787,0.506918
3.120951,-9.353385,0.523133
3.07607,-9.37737,0.508648
3.089239,-9.368631,0.476207
3.086017,-9.371667,0.556325
3.109829,-9.355343,0.558088
3.120722,-9.346964,0.629914
3.095703,-9.358608,0.635769
3.071043,-9.362527,0.681031
3.070564,-9.359293,0.70605
3.096574,-9.352512,0.715649
3.10898,-9.34359,0.734367
3.133651,-9.333437,0.747589
3.135969,-9.341848,0.677015
3.120842,-9.354799,0.596374
3.094626,-9.366595,0.531872
3.104191,-9.361003,0.52901
3.081218,-9.371504,0.537857
3.093788,-9.365519,0.56982
3.098641,-9.358825,0.613786
3.080859,-9.360012,0.703656
3.093907,-9.355463,0.69779
3.126708,-9.339302,0.699825
3.16557,-9.322478,0.785951
3.240313,-9.284954,0.860955
3.149333,-9.31548,0.906325
3.173188,-9.307895,0.8445
3.16002,-9.315513,0.83155
3.17519,-9.345049,0.606092
3.069247,-9.366117,0.552223
3.089826,-9.362961,0.622601
3.096062,-9.362406,0.560243
3.090436,-9.357498,0.621894
3.083297,-9.359043,0.658405
3.122159,-9.346365,0.625844
3.099653,-9.358815,0.606332
3.055654,-9.369273,0.623037
3.061106,-9.368032,0.675524
3.074754,-9.364801,0.617465
3.112353,-9.356759,0.595503
3.099838,-9.366117,0.548381
3.068528,-9.372461,0.57377
3.080358,-9.361112,0.63109
3.111624,-9.358096,0.604775
3.156875,-9.337387,0.611958
3.126827,-9.345875,0.627934
3.106586,-9.346638,0.703678
