Acc_X,Acc_Y,Acc_Z
-3.071453,-9.945724,-0.917837
-2.514148,-9.382006,0.20786
-3.346382,-10.149815,-0.418419
-3.243932,-9.028234,-0.209422
-2.848405,-9.527788,-0.172383
-3.821617,-9.620591,-0.252679
-3.451048,-9.799952,-0.123334
-3.03657,-9.775085,-0.945868
-3.06715,-9.733142,0.355151
-3.357741,-10.402262,-0.581229
-2.966351,-8.934189,-0.401838
-3.302766,-10.185427,-0.539857
-3.095978,-9.217515,-0.105135
-2.789934,-9.867721,0.143779
-3.78795,-9.768813,-0.611363
-3.224866,-10.074325,0.375907
-3.002815,-9.538256,-0.579187
-2.861543,-9.312285,-0.015562
-3.513912,-10.024476,-0.548127
-3.02914,-9.285293,-0.048395
-2.553556,-9.610395,0.169038
-3.82822,-9.669111,-0.37881
-3.501901,-10.117117,0.279759
-2.941374,-9.728256,-0.457195
-2.63797,-9.432574,-0.257623
-3.293241,-10.021773,-0.480377
-2.800418,-9.296432,-0.031687
-2.852643,-9.631113,-0.034069
-3.721734,-9.655358,-0.351807
-3.517826,-10.419291,0.055196
-2.906253,-9.308709,-0.83866
-2.543839,-9.554255,-0.009334
-3.610896,-10.17983,-0.42013
-3.042011,-9.108353,0.128996
-2.928524,-10.035461,-1.156383
-3.183619,-9.528676,-0.663053
-2.840685,-9.71194,-0.395853
-3.311165,-9.38354,-0.096383
-2.629123,-9.720495,0.203344
-3.606767,-9.71525,-0.658454
-3.731592,-10.037831,0.093145
-2.721755,-9.611247,-0.537773
-3.046803,-9.187676,0.014619
-3.288776,-10.055793,-0.263006
-2.948653,-9.06846,-0.020034
-2.810081,-9.553526,-0.070047
-3.671908,-9.819345,-0.261548
-3.621926,-9.95792,0.504481
-3.142003,-9.526845,-1.095224
-3.003607,-9.518715,0.712146
-3.423091,-9.982406,-0.517365
-2.640594,-9.603255,-0.549049
-3.247559,-10.019895,-0.302057
-2.985133,-9.440969,-0.41795
-3.094705,-9.540129,0.393746
-3.629864,-9.669418,-1.241031
-3.620146,-10.141128,0.327941
-2.897266,-9.552689,-1.046918
-3.081022,-9.186301,0.483463
-3.648623,-9.982819,-0.875415
-2.926863,-9.310484,-0.349489
-3.285372,-9.940549,-1.080841
-3.012122,-9.517401,-0.914518
-2.898745,-10.013309,-0.589361
-2.952487,-9.192279,-0.026967
-3.129239,-9.625043,-0.008362
-3.759212,-9.418674,-0.170736
-3.347763,-9.852088,-0.349659
-3.289908,-9.895592,-0.968633
-3.027169,-9.97648,1.045175
-2.896319,-9.623343,-0.28082
-3.195309,-9.289081,0.265475
-3.202552,-10.160927,-1.006568
-2.706451,-9.259786,0.267675
-3.137093,-9.956561,0.058458
-3.416807,-9.466639,-0.584678
-3.652672,-9.662682,0.584132
-3.443752,-9.896286,-0.942943
